header,group,type,sample
SKU,Supplier Description,System.String,ABC123
Listing Action,Supplier Description,System.String,(Default) Create or Replace
Product Type,Product Identity,System.String,SHIRT
Item Name,Product Identity,System.String,"Robert Graham Men's Maya Bay Short Sleeve Classic Fit Shirt, Cranberry, X-Large"
Brand Name,Product Identity,System.String,"Calvin Klein, Hanes, Goodthreads, Under Armour"
External Product ID Type,Product Identity,System.String,UPC
External Product ID,Product Identity,System.String,714532191586
Merchant Suggested ASIN,Product Identity,System.String,B007KQBXN0
Is exempt from supplier declared external product identifier,Product Identity,System.String,"Yes, No"
Recommended Browse Nodes,Product Identity,System.String,Diet Bars
Recommended Browse Nodes,Product Identity,System.String,Diet Bars
Recommended Browse Nodes,Product Identity,System.String,Diet Bars
Recommended Browse Nodes,Product Identity,System.String,Diet Bars
Recommended Browse Nodes,Product Identity,System.String,Diet Bars
Model Number,Product Identity,System.String,"RXZER23, 123"
Model Name,Product Identity,System.String,Maya Bay Short Sleeve Classic Fit Shirt
Manufacturer,Product Identity,System.String,"Nike, Procter & Gamble"
Collar Style,Product Identity,System.String,"Buttoned, Spread, Cutaway"
Collar Style,Product Identity,System.String,"Buttoned, Spread, Cutaway"
Age Gender Category,Product Identity,System.String,"Men, Women, Boys Girls"
Model Year,Product Identity,System.String,2018
Package Level,Product Identity,System.String,"Unit, Case"
Package Contains SKU Quantity,Product Identity,System.String,1
Package Contains SKU Identifier,Product Identity,System.String,ABC123
Target Audience,Product Identity,System.String,Boys
Target Audience,Product Identity,System.String,Boys
Target Audience,Product Identity,System.String,Boys
Target Audience,Product Identity,System.String,Boys
Target Audience,Product Identity,System.String,Boys
Target Audience Keyword,Product Identity,System.String,"Women, Teens, Cats"
Target Audience Keyword,Product Identity,System.String,"Women, Teens, Cats"
Target Audience Keyword,Product Identity,System.String,"Women, Teens, Cats"
Target Audience Keyword,Product Identity,System.String,"Women, Teens, Cats"
Target Audience Keyword,Product Identity,System.String,"Women, Teens, Cats"
Skip Offer,Offer,System.String,Yes
Item Condition,Offer,System.String,New
Offer Condition Note,Offer,System.String,Small dent in left side panel.
List Price with Tax,Offer,System.String,69
Product Tax Code,Offer,System.String,A_GEN_NOTAX
Release Date,Offer,System.String,2017-07-20
Merchant Shipping Group,Offer,System.String,"""Heavy Bulky Products"", ""CN ShunFeng Delivery"""
Maximum Order Quantity,Offer,System.String,3
Offering Can Be Gift Messaged,Offer,System.String,TRUE
Is Gift Wrap Available,Offer,System.String,TRUE
Main Image Location,Offer,System.String,http://www.companyname.com/images/1250.offer.jpg
Other Image Location,Offer,System.String,http://www.companyname.com/images/1250.other1.jpg
Other Image Location,Offer,System.String,http://www.companyname.com/images/1250.other1.jpg
Other Image Location,Offer,System.String,http://www.companyname.com/images/1250.other1.jpg
Other Image Location,Offer,System.String,http://www.companyname.com/images/1250.other1.jpg
Other Image Location,Offer,System.String,http://www.companyname.com/images/1250.other1.jpg
Import Designation,Offer,System.String,Imported
Fulfillment Channel Code (UK),Fulfillment Availability (UK),System.String,AMAZON_NA
Quantity (UK),Fulfillment Availability (UK),System.String,152
Handling Time (UK),Fulfillment Availability (UK),System.String,5
Restock Date (UK),Fulfillment Availability (UK),System.String,2020-05-05
Inventory Always Available (UK),Fulfillment Availability (UK),System.String,Enabled
"Your Price GBP (Sell on Amazon, UK)",Offer (UK) - (Sell on Amazon),System.String,9.00
"Pricing Rule (Sell on Amazon, UK)",Offer (UK) - (Sell on Amazon),System.String,Competitive Price Rule by Amazon
"Minimum Seller Alllowed Price (Sell on Amazon, UK)",Offer (UK) - (Sell on Amazon),System.String,259.99
"Maximum Seller Allowed Price (Sell on Amazon, UK)",Offer (UK) - (Sell on Amazon),System.String,259.99
"Sale Price GBP (Sell on Amazon, UK)",Offer (UK) - (Sell on Amazon),System.String,219.99
"Sale Start Date (Sell on Amazon, UK)",Offer (UK) - (Sell on Amazon),System.String,2017-06-30
"Sale End Date (Sell on Amazon, UK)",Offer (UK) - (Sell on Amazon),System.String,2017-07-01
"Offering Release Date (Sell on Amazon, UK)",Offer (UK) - (Sell on Amazon),System.String,2017-06-30
"Stop Selling Date (Sell on Amazon, UK)",Offer (UK) - (Sell on Amazon),System.String,2017-07-01
Product Description,Product Details,System.String,"This summer, boots by Jette made from high quality suede leather are real gems. They visually highlight the craftsmanship and fine leather braid positioned at the top of the shaft"
Bullet Point,Product Details,System.String,"Breathable leather lining, Classic look and feel"
Bullet Point,Product Details,System.String,"Breathable leather lining, Classic look and feel"
Bullet Point,Product Details,System.String,"Breathable leather lining, Classic look and feel"
Bullet Point,Product Details,System.String,"Breathable leather lining, Classic look and feel"
Bullet Point,Product Details,System.String,"Breathable leather lining, Classic look and feel"
Generic Keywords,Product Details,System.String,Casual shirt; Button down; Relaxed fit; Men's shirt
Lifestyle,Product Details,System.String,Athletic
Style,Product Details,System.String,Maya Bay Short Sleeve Classic Fit Shirt
Department Name,Product Details,System.String,Mens
Target Gender,Product Details,System.String,"Male, Female, Unisex"
Age Range Description,Product Details,System.String,"Adult, Big Kid, Toddler"
Apparel Size System,Product Details,System.String,UK
Apparel Size Class,Product Details,System.String,Alpha
Apparel Size Value,Product Details,System.String,"4, M, 2 Years"
Apparel Size To Value,Product Details,System.String,"5, L, 3 Years"
Apparel Size Body Type,Product Details,System.String,Plus
Apparel Size Height Type,Product Details,System.String,Tall
Material,Product Details,System.String,"Acrylic, Cashmere Blend"
Material,Product Details,System.String,"Acrylic, Cashmere Blend"
Material,Product Details,System.String,"Acrylic, Cashmere Blend"
Fabric Type,Product Details,System.String,"75% Cotton, 15% Nylon, 10% Wool"
Pattern Style,Product Details,System.String,Striped
Number of Items,Product Details,System.String,"1, 5, 20"
Item Package Quantity,Product Details,System.String,1
Item Type Name,Product Details,System.String,"Sweatshirt, Polo Sweater"
Subject Character,Product Details,System.String,Batman
Special Size,Product Details,System.String,"Petite, Husky Boys"
Colour Map,Product Details,System.String,Red
Colour,Product Details,System.String,Cranberry
Item Length Description,Product Details,System.String,"Mini, Knee-Length"
Metal Type,Product Details,System.String,"Bronze, Platinum Plated Brass"
Metal Type,Product Details,System.String,"Bronze, Platinum Plated Brass"
Metal Type,Product Details,System.String,"Bronze, Platinum Plated Brass"
Metal Type,Product Details,System.String,"Bronze, Platinum Plated Brass"
Metal Type,Product Details,System.String,"Bronze, Platinum Plated Brass"
Gem Type,Product Details,System.String,"Amazonite, Blue Agate, Created Amethyst"
Gem Type,Product Details,System.String,"Amazonite, Blue Agate, Created Amethyst"
Gem Type,Product Details,System.String,"Amazonite, Blue Agate, Created Amethyst"
Gem Type,Product Details,System.String,"Amazonite, Blue Agate, Created Amethyst"
Gem Type,Product Details,System.String,"Amazonite, Blue Agate, Created Amethyst"
Occasion,Product Details,System.String,"Anniversary, Birthday, Wedding, Get Well, Independence Day"
Occasion,Product Details,System.String,"Anniversary, Birthday, Wedding, Get Well, Independence Day"
Occasion,Product Details,System.String,"Anniversary, Birthday, Wedding, Get Well, Independence Day"
Occasion,Product Details,System.String,"Anniversary, Birthday, Wedding, Get Well, Independence Day"
Occasion,Product Details,System.String,"Anniversary, Birthday, Wedding, Get Well, Independence Day"
Part Number,Product Details,System.String,RXZER23
Item Shape,Product Details,System.String,"Round, Oval, Square"
Theme,Product Details,System.String,"Aliens, Animals"
Ring Size,Product Details,System.String,"4.25, 7.5, 8.75"
Fit Type,Product Details,System.String,"Skinny, Relaxed"
Pocket Description,Product Details,System.String,"Back-Flap-Pocket, Basic-5-Pocket"
Pocket Description,Product Details,System.String,"Back-Flap-Pocket, Basic-5-Pocket"
Pocket Description,Product Details,System.String,"Back-Flap-Pocket, Basic-5-Pocket"
Pocket Description,Product Details,System.String,"Back-Flap-Pocket, Basic-5-Pocket"
Pocket Description,Product Details,System.String,"Back-Flap-Pocket, Basic-5-Pocket"
Weave Type,Product Details,System.String,Knit
Care Instructions,Product Details,System.String,"Hand Wash, Machine Wash"
Magnification Strength,Product Details,System.String,"1, 1.5, 2"
Magnification Strength Unit,Product Details,System.String,diopters
Shaft Material Type,Product Details,System.String,Graphite
Edition,Product Details,System.String,"Special Edition,Standard Edition"
Configuration,Product Details,System.String,AWD configuration
Platform for Display,Product Details,System.String,"Android, Mac, PC"
Language Type,Product Details,System.String,"Original, Subtitled"
Language,Product Details,System.String,"Chinese, English, Dutch"
Language Type,Product Details,System.String,"Original, Subtitled"
Language,Product Details,System.String,"Chinese, English, Dutch"
Language Type,Product Details,System.String,"Original, Subtitled"
Language,Product Details,System.String,"Chinese, English, Dutch"
Language Type,Product Details,System.String,"Original, Subtitled"
Language,Product Details,System.String,"Chinese, English, Dutch"
Language Type,Product Details,System.String,"Original, Subtitled"
Language,Product Details,System.String,"Chinese, English, Dutch"
Wireless Provider,Product Details,System.String,"Verizon, Cingular, Orange"
Lens Colour,Product Details,System.String,"Maroon, Sky Blue/Ash Grey, Blue, Emerald"
Sunglasses Lens Width,Product Details,System.String,55
Lens Width Unit,Product Details,System.String,millimeters
Item Display Diameter,Product Details,System.String,"2.75, 3.00"
